,location,new_cases_per_million,date
4666,Canada,0.0,2019-12-31
4667,Canada,0.0,2020-01-01
4668,Canada,0.0,2020-01-02
4669,Canada,0.0,2020-01-03
4670,Canada,0.0,2020-01-04
4671,Canada,0.0,2020-01-05
4672,Canada,0.0,2020-01-06
4673,Canada,0.0,2020-01-07
4674,Canada,0.0,2020-01-08
4675,Canada,0.0,2020-01-09
4676,Canada,0.0,2020-01-10
4677,Canada,0.0,2020-01-11
4678,Canada,0.0,2020-01-12
4679,Canada,0.0,2020-01-13
4680,Canada,0.0,2020-01-14
4681,Canada,0.0,2020-01-15
4682,Canada,0.0,2020-01-16
4683,Canada,0.0,2020-01-17
4684,Canada,0.0,2020-01-18
4685,Canada,0.0,2020-01-19
4686,Canada,0.0,2020-01-20
4687,Canada,0.0,2020-01-21
4688,Canada,0.0,2020-01-22
4689,Canada,0.0,2020-01-23
4690,Canada,0.0,2020-01-24
4691,Canada,0.0,2020-01-25
4692,Canada,0.026000000000000002,2020-01-26
4693,Canada,0.0,2020-01-27
4694,Canada,0.026000000000000002,2020-01-28
4695,Canada,0.026000000000000002,2020-01-29
4696,Canada,0.0,2020-01-30
4697,Canada,0.0,2020-01-31
4698,Canada,0.026000000000000002,2020-02-01
4699,Canada,0.0,2020-02-02
4700,Canada,0.0,2020-02-03
4701,Canada,0.0,2020-02-04
4702,Canada,0.026000000000000002,2020-02-05
4703,Canada,0.0,2020-02-06
4704,Canada,0.053,2020-02-07
4705,Canada,0.0,2020-02-08
4706,Canada,0.0,2020-02-09
4707,Canada,0.0,2020-02-10
4708,Canada,0.0,2020-02-11
4709,Canada,0.0,2020-02-12
4710,Canada,0.0,2020-02-13
4711,Canada,0.0,2020-02-14
4712,Canada,0.026000000000000002,2020-02-15
4713,Canada,0.0,2020-02-16
4714,Canada,0.0,2020-02-17
4715,Canada,0.0,2020-02-18
4716,Canada,0.0,2020-02-19
4717,Canada,0.0,2020-02-20
4718,Canada,0.026000000000000002,2020-02-21
4719,Canada,0.0,2020-02-22
4720,Canada,0.0,2020-02-23
4721,Canada,0.0,2020-02-24
4722,Canada,0.053,2020-02-25
4723,Canada,0.0,2020-02-26
4724,Canada,0.026000000000000002,2020-02-27
4725,Canada,0.053,2020-02-28
4726,Canada,0.053,2020-02-29
4727,Canada,0.106,2020-03-01
4728,Canada,0.106,2020-03-02
4729,Canada,0.079,2020-03-03
4730,Canada,0.079,2020-03-04
4731,Canada,0.079,2020-03-05
4732,Canada,0.318,2020-03-06
4733,Canada,0.159,2020-03-07
4734,Canada,0.159,2020-03-08
4735,Canada,0.132,2020-03-09
4736,Canada,0.397,2020-03-10
4737,Canada,0.424,2020-03-11
4738,Canada,0.265,2020-03-12
4739,Canada,0.927,2020-03-13
4740,Canada,1.0070000000000001,2020-03-14
4741,Canada,1.8019999999999998,2020-03-15
4742,Canada,1.59,2020-03-16
4743,Canada,3.179,2020-03-17
4744,Canada,3.842,2020-03-18
4745,Canada,3.2060000000000004,2020-03-19
4746,Canada,4.133,2020-03-20
4747,Canada,3.312,2020-03-21
4748,Canada,8.77,2020-03-22
4749,Canada,3.391,2020-03-23
4750,Canada,5.723,2020-03-24
4751,Canada,8.293,2020-03-25
4752,Canada,37.783,2020-03-26
4753,Canada,16.772000000000002,2020-03-27
4754,Canada,17.408,2020-03-28
4755,Canada,18.838,2020-03-29
4756,Canada,23.025,2020-03-30
4757,Canada,30.973000000000003,2020-03-31
4758,Canada,29.463,2020-04-01
4759,Canada,28.059,2020-04-02
4760,Canada,44.327,2020-04-03
4761,Canada,33.146,2020-04-04
4762,Canada,36.113,2020-04-05
4763,Canada,42.763999999999996,2020-04-06
4764,Canada,30.655,2020-04-07
4765,Canada,32.59,2020-04-08
4766,Canada,36.855,2020-04-09
4767,Canada,39.054,2020-04-10
4768,Canada,36.696,2020-04-11
4769,Canada,30.947,2020-04-12
4770,Canada,28.191,2020-04-13
4771,Canada,34.391,2020-04-14
4772,Canada,36.643,2020-04-15
4773,Canada,34.921,2020-04-16
4774,Canada,45.493,2020-04-17
4775,Canada,47.45399999999999,2020-04-18
4776,Canada,38.922,2020-04-19
4777,Canada,38.048,2020-04-20
4778,Canada,54.21,2020-04-21
4779,Canada,42.128,2020-04-22
4780,Canada,46.791000000000004,2020-04-23
4781,Canada,50.871,2020-04-24
4782,Canada,47.108999999999995,2020-04-25
4783,Canada,38.79,2020-04-26
4784,Canada,40.883,2020-04-27
4785,Canada,42.525,2020-04-28
4786,Canada,40.431999999999995,2020-04-29
4787,Canada,41.651,2020-04-30
